"ontology title","ontology iri","summary","authors","contributors","license information","project page","source page","latest json-ld file","latest n3 file","latest ntriples file","latest rdf/xml file","latest turtle file","modified","version"
"GRACE Ontology","http://www.grace.com","The GRACE system will act at the Distributed Control System (DCS) and Manufacturing Execution System (MES) levels, implementing the sharing of process critical information between and inside the two layers. This results in the more efficient management of resources and higher final product quality.",,,,"https://industryportal.enit.fr/ontologies/GRACE",,,,,"https://data.industryportal.enit.fr/ontologies/GRACE/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2012-02-29",
"Grid2Onto","http://www.semanticweb.org/emna.amdouni/ontologies/2023/0/RTEOntology","Grid2Onto is an application ontology that describes the observations (values, indicators, physical objects, etc.) collected from a power grid.","Amdouni Emna",,"CC-BY 4.0","https://industryportal.enit.fr/ontologies/GRID2ONTO",,,,,"https://data.industryportal.enit.fr/ontologies/GRID2ONTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2023-10-13","1.2"
"Hair Dryer Vocabulary","http://purl.org/opdm/hairdryer#","Vocabulary to describe hair dryers (modern blow dryers only).","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/hairdryer.html",,,,,"http://purl.org/opdm/hairdryer#",,,
"Holistic","http://emmo.info/emmo/middle/holistic","Defines the holistic perspective which include process and the role of its participants.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/holistic","2020-12-05","1.0.0-beta"
"Home Hifi Vocabulary","http://purl.org/opdm/homehifi#","Vocabulary to describe home hifis and other home audio entertainment devices.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/homehifi.html",,,,,"http://purl.org/opdm/homehifi#",,,
"IEEE 1872 Annotation","http://purl.org/ieee1872-owl/annotation","Ontology for annotation properties used in IEEE1872-owl.","Sandro Rama Fiorini",,"CC-BY 4.0","https://github.com/srfiorini/IEEE1872-owl",,,,,"https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/annotation.owl",,"2017-11-24","1.0"
"IEEE Standard for Autonomous Robotics Ontology","http://w3id.org/hsu-aut/IEEE1872.2","An ontology of IEEE Standard 1872.2 which is a standard to describe domain-speficic concepts and definitions used in Autonomous Robotics.","Miguel Vieira da Silva (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-IEEE1872-2",,,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-IEEE1872-2/main/AuR_IEEE1872-2.owl","2023-02-03","1.0.0"
"IFC2X3","http://ifcowl.openbimstandards.org/IFC2X3_Final","OWL ontology for the IFC2X3 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Pieter Pauwels",,"CC-BY 3.0","https://github.com/buildingsmart-community/ifcOWL",,,,,"https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_Final.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_Final.ttl","2016-12-30",
"IFC2X3_TC1","http://ifcowl.openbimstandards.org/IFC2X3_TC1","OWL ontology for the IFC2X3_TC1 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Pieter Pauwels,Walter Terkaj",,"CC-BY 3.0","https://github.com/buildingsmart-community/ifcOWL",,,,,"https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_TC1.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_TC1.ttl","2016-12-30",
"IFC4","http://ifcowl.openbimstandards.org/IFC4","OWL ontology for the IFC4 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Pieter Pauwels,Walter Terkaj",,"CC-BY 3.0","https://github.com/buildingsmart-community/ifcOWL",,,,,"https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4.ttl","2016-12-30",
"IFC4_ADD1","http://ifcowl.openbimstandards.org/IFC4_ADD1","OWL ontology for the IFC4_ADD1 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Pieter Pauwels,Walter Terkaj",,"CC-BY 3.0","https://github.com/buildingsmart-community/ifcOWL",,,,,"https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD1.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD1.ttl","2016-12-30",
"IFC4_ADD2","http://ifcowl.openbimstandards.org/IFC4_ADD2","OWL ontology for the IFC4_ADD2 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Pieter Pauwels,Walter Terkaj",,"CC-BY 3.0","https://github.com/buildingsmart-community/ifcOWL",,,,,"https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD2.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD2.ttl","2016-12-30",
"Industrial Maintenance Ontology","http://www.semanticweb.org/karray/ontologies/2016/0/IMAMO#","Ontology, that covers concepts about technical, administrative and management activities and actions for maintenance information systems.","Hedi Karray,Hedi Karray,Thibault Bobyck",,"MIT","https://industryportal.enit.fr/ontologies/IMAMO",,,,,"http://data.industryportal.enit.fr/ontologies/IMAMO/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942&download_format=rdf",,"2021-08-12","2.0"
"Industrial Ontologies Foundry Supply Chain Reference Ontology","https://spec.industrialontologies.org/ontology/supplychain/SupplyChain/","Supply Chain Reference Ontology (SCRO) aims to represent the generic constructs (including classes and properties) related to the domain of supply chain and logistics with focus on consistency and interoperability across supply chain- and logistics ontologies.","Farhad Ameri,Evan Wallace,Boonserm Kulvatanyou",,"MIT","https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChainReferenceOntology/",,,,,"https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChain.rdf",,"2023-10-10","1.0"
"International System of Quantities","http://emmo.info/emmo/middle/isq","Defines physical quantities in the International System of Quantities (ISQ). ISQ was made an official ISO standard in 2009 and is defined in the ISO/IEC 80000 standard.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/isq","2021-09-04","1.0.0-beta"
"IOF Annotation Vocabulary","https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/","The IOF Annotation Vocabulary provides a set of OWL annotation properties for annotating IOF or other content with metadata to facilitate user and ontology developer understanding.","Evan Wallace,Todd Schneider,IOF Technical Oversight Board (TOB)",,"MIT","https://github.com/iofoundry/ontology",,,,,"https://spec.industrialontologies.org/ontology/202401/core/meta/AnnotationVocabulary/",,"2024-03-08","Release_202401"
"IOF Core Ontology","https://spec.industrialontologies.org/ontology/core/Core/","The IOF Core Ontology contains notions found to be common across multiple manufacturing domains.","IOF Core Working Group",,"MIT","https://github.com/iofoundry/ontology/",,,,,"https://spec.industrialontologies.org/ontology/202401/core/Core/",,"2024-03-08","202401"
"IoT Ontology","https://cogito.iot.linkeddata.es/def/iot#","The COGITO IoT ontology aims at modelling IoT devices and their measurements in the construction domain.","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo",,"CC-BY 4.0","https://github.com/oeg-upm/cogito-iot-ontology",,,,,,"https://raw.githubusercontent.com/oeg-upm/cogito-iot-ontology/main/ontology/ontology.ttl","2023-12-07","0.5.0"
"ISO 22400-2 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/ISO22400-2","Its an ontology design pattern of ISO 22400-2, which presents key performance indicators (KPIs) for Manufacturing Operations Management (MOM) by terminologically standardizing various KPI-related terms, but also providing formulas for their calculation.","Aljosha Köcher,Janni Kreisberg (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-ISO22400-2",,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-ISO22400-2/master/ISO22400-2.owl",,"2023-11-17","2.0.0"
"Key Performance Indicator ontology","http://bimerr.iot.linkeddata.es/def/key-performance-indicator#","The Key Performance Indicator module aims to model the metrics defined at the beginning of building renovation activities to monitor the conformance with typical requirements related to energy efficient buildings.","María Poveda Villalón,Serge Chávez Feria",,"CC-BY 4.0","https://bimerr.iot.linkeddata.es/def/key-performance-indicator/",,,,,,"https://bimerr.iot.linkeddata.es/def/key-performance-indicator/ontology.ttl",,"0.1.6"
"Landline Phones Vocabulary","http://purl.org/opdm/landlinephone#","Vocabulary to describe all kinds of landline phones including wireless and ones with multiple base station.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/landlinephone.html",,,,,"http://purl.org/opdm/landlinephone#",,,
"Maintenance Activity Ontology","http://www.semanticweb.org/maintenance-activity","A reference ontology for maintenance activity terms which also contains a holistic view of the types of activities conducted by maintenance personnel.","Caitlin Woods,Matt Selway,Tyler Bikaun,Markus Stumptner,Melinda Hodkiewicz",,"MIT","https://github.com/uwasystemhealth/Paper_Archive_Maintenance_Activity",,,,,"https://raw.githubusercontent.com/uwasystemhealth/Paper_Archive_Maintenance_Activity/main/maintenance-activity.owl",,"2022-10-28",
"Maintenance Activity Ontology","http://spec.equonto.com/ontology/maintenance-work-management/maintenance-activity-ontology","The Maintenance Activity Ontology is a reference ontology for maintenance activity terms. This ontology is derived from a set of 800 000 real-world maintenance work orders. .","Caitlin Woods,Matt Selway,Tyler Bikaun,Markus Stumptner,Melinda Hodkiewicz",,"MIT","https://industryportal.enit.fr/ontologies/MNT-ACT",,,,,"https://data.industryportal.enit.fr/ontologies/MNT-ACT/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,,
"Maintenance Reference Ontology","https://spec.industrialontologies.org/ontology/maintenance/Maintenance/","The Maintenance Reference Ontology supports modelling of concepts associated with asset reliability and maintenance management. It is relevant for data captured at the design stage of the asset life cycle (e.g. in failure modes and effects analysis) and in the operations and maintenance phase of the life cycle (e.g. asset reliability and the maintenance activities associated with delivering value from use of the assets).","IOF Maintenance Working Group",,"MIT","https://spec.industrialontologies.org/iof/ontology/maintenance/Maintenance/",,,,,"https://spec.industrialontologies.org/iof/ontology/maintenance/Maintenance.rdf",,"2024-03-08","Release_202401"
"Manufacturing","http://emmo.info/emmo/middle/manufacturing","Describes manufacturing processes with engeneered participants.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"https://raw.githubusercontent.com/emmo-repo/EMMO/master/middle/manufacturing.ttl","2021-01-19","1.0.0-beta"
"Manufacturing Semantics Ontology","http://www.owl-ontologies.com/mason.owl","A top-level ontology in the manufacturing domain, i.e. a common ancestor for more domain-specific ontologies. This ontology addresses topic similar to earlier work by the National Institute of Standards and Technology (NIST). They proposed a standard for interoperability in the process management chain (Process Specification Language, PSL). Although sharing the same purposes, MASON relies on up-to-date formalisms (OWL semantics) and tries to show the concrete application of such ontologies.","Severin Lemaignan (probably Ali Siadat and Jean-Yves Dantan too)",,,"https://www.academia.edu/download/30806306/Lemaignan2006.pdf",,,,,"https://data.industryportal.enit.fr/ontologies/MASON/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2006-06-16","1.0.0"
"Manufacturing System Ontology","http://www.ontologies.com/Ontology3197.owl","The MSO ontology is intended to represent manufacturing system. The MSO ontology is developed in OWL and wants to be a guideline to favour the representation of objects in production systems.","Beatrice Cabrini",,,"https://github.com/enegri/OFM",,,,,"https://raw.githubusercontent.com/enegri/OFM/master/OFM.owl",,"2016-10-24",
"ManuService Ontology","http://www.manunetwork.com/manuservice/v1#","ManuService is an ontology for enabling semantic interoperability and communication within the domain of manufacturing. Aiming at solving the interoperability issue within the domain of manufacturing, ManuService consists of all necessary concepts for describing highly customized products and manufacturing resources. .",,,,"https://industryportal.enit.fr/ontologies/MANUSERVICE",,,,,"https://data.industryportal.enit.fr/ontologies/MANUSERVICE/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2016-01-12","1"
"Mappings ontology","http://emmo.info/domain-mappings","A small EMMO-based ontology focusing mappings data to domains and ontological concepts.","Jesper Friis,Thomas Hagelien,Treesa Rose Joseph",,"CC-BY 4.0","https://github.com/emmo-repo/domain-mappings",,,,,,"https://raw.githubusercontent.com/emmo-repo/domain-mappings/master/mappings.ttl","2021-10-31","0.0.1"
"Material properties ontology","http://bimerr.iot.linkeddata.es/def/material-properties#","The Material Properties Ontology aims to provide the vocabulary to describe the building components, materials, and their corresponding properties, relevant within the construction industry. More specifically, the building elements and properties covered in this ontology support applications focused on the design of building renovation projects.","María Poveda-Villalón,Serge Chávez-Feria",,"CC-BY 4.0","https://bimerr.iot.linkeddata.es/def/material-properties/",,,,,,"https://bimerr.iot.linkeddata.es/def/material-properties/ontology.ttl","2021-07-21","0.0.8"
"Material Science and Engineering Ontology","https://purl.matolab.org/mseo/mid","This is the mid-level module of the Material Science and Engineering Ontology (MSEO),which utilizes the Common Core Ontology stack giving materials scientists and engineers the ability to represent their experiments and resulting data. The goal is to create machine and human readable sematic data which can be easily digested by other science domains.","Thomas Hanke",,"MIT","https://matportal.org/ontologies/MSEO",,,,,"https://purl.matolab.org/mseo/mid",,"2023-02-06","0.4"
"Materials","http://emmo.info/emmo/middle/materials","The materials module populates the physicalistic perspective with materials subclasses categorised according to modern applied physical sciences.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/manufacturing","2021-11-26","1.0.0-beta"
"Math","http://emmo.info/emmo/middle/math","The math module defines the formal language of mathematics.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/math","2020-12-10","1.0.0-beta"
"Mechanical Testing Ontology (MTO)","https://gitlab.com/kupferdigital/ontologies/Mechanical_Testing_Ontology/","The materials mechanical testing ontology (MTO) was developed by collecting the mechanical testing vocabulary from ISO 23718 standard, as well as the standardized testing processes described for various mechanical testing of materials like tensile testing, Brinell hardness test, Vickers hardness test, stress relaxation test, and fatigue testing.","Birgit Skrotzki,Hossein Beygi Nasrabadi,Miriam Eisenbart,Thomas Hanke",,,"https://industryportal.enit.fr/ontologies/MTO",,,,,,"https://data.industryportal.enit.fr/ontologies/MTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2.1.4"
"Mereotopology","http://emmo.info/emmo/top/mereotopology","Introduces the fundamental mereotopological concepts of EMMO and their relations with the real world objects that they represent.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/top/mereotopology","2020-12-05","1.0.0-beta"
"Metrology","http://emmo.info/emmo/middle/metrology","Defines the formal language of metrology, including theoretical and practical aspects of measurements.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/metrology","2020-12-10","1.0.0-beta"
"Microstructure domain ontology","http://emmo.info/microstructure","The Microstructure Domain Ontology is intended to be a domain ontology for physical metallurgy. The intension is to cover all relevant aspect of metallic microstructures.","Astrid Marthinsen,Georg J. Schmitz,Jesper Friis,Sylvain Gouttebroze,Tomas Manik,Ulrike Cihak-Bayr",,"CC-BY 4.0","https://github.com/emmo-repo/domain-microstructure",,,,,,"https://raw.githubusercontent.com/emmo-repo/domain-microstructure/master/microstructure.ttl","2023-11-11","0.2"
"Microwave Vocabulary","http://purl.org/opdm/microwave#","Vocabulary to describe microwave ovens.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","https://ebusiness-unibw.org/ontologies/opdm/microwave.html",,,,,"http://purl.org/opdm/microwave#",,,
"Mobile Phone Vocabulary","http://purl.org/opdm/mobilephone#","Vocabulary to describe mobile phones and smartphones.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/mobilephone.html",,,,,"http://purl.org/opdm/mobilephone#",,,
"Models","http://emmo.info/emmo/middle/models","The models module defines models as semiotic signs that stands for an object by resembling or imitating it, in shape or by sharing a similar logical structure.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/middle/models","2020-12-10","1.0.0-beta"
"Modem Vocabulary","http://purl.org/opdm/modem#","Vocabulary to describe cable modems, DSL routers, wireless access points.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/modem.html",,,,,"http://purl.org/opdm/modem#",,,
"Molecules And Materials Basic Ontology","file:/home/fabio/Projects/MAMBO/mambo.owl","It is a domain ontology for molecular materials.","See https://github.com/daimoners/MAMBO/graphs/contributors",,"CC-BY 4.0","https://github.com/daimoners/MAMBO",,,,,"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl",,"2023-05-10",
"MPS500","http://www.hsu-hh.de/aut/ontologies/lab/MPS500","A semantic capability model of all MPS500 modules.","Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/MPS500-Capabilities.owl","http://emmo.info/emmo/1.0.0-beta/middle/materials","2022-03-31",
"MPS500 AssembleCylinder","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/AssembleCylinder",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Assembly_Module/AssembleCylinder.owl",,"2022-03-31",
"MPS500 AssembleThermometer","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/AssembleThermometer",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Assembly_Module/AssembleThermometer.owl",,"2022-03-08",
"MPS500 CameraModule","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/CameraModule",,"Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Camera_Module/CameraModule.owl",,"2022-03-15",
"MPS500 DrillingModule","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/DrillingModule",,"Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Drilling_Module/DrillingModule.owl",,"2022-03-31",
"MPS500 PropertyTypes","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/property-types","A little ontology that contains all property type definitions used for MPS500.","Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/MPS500-PropertyTypes.owl",,"2022-03-31",
"MPS500 RawCylinderSupplyModule","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RawCylinderSupplyModule",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/RawCylinderSupply_Module/RawCylinderSupplyModule.owl",,"2022-03-08",
"MPS500 RawThermometerSupplyModule","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RawThermometerSupplyModule",,"Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/RawThermometerSupply_Module/RawThermometerSupplyModule.owl",,"2022-03-08",
"MPS500 ShippingModule","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/PrepareForShipping",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Shipping_Module/PrepareForShipping.owl",,"2022-03-15",
"MPS500 StorageModule PutInStorage","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/PutInStorage",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Storage_Module/PutInStorage.owl",,"2022-03-11",
"MPS500 StorageModule RetrieveFromStorage","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RetrieveFromStorage",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Storage_Module/RetrieveFromStorage.owl",,"2022-03-15",
"MPS500 Transport Module","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/TransportModule",,"Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/MPS500-Capabilities",,,,,"https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Transport_Module/TransportModule.owl",,"2022-03-31",
"MSDL (Manufacturing Service Description Language)","http://infoneer.txstate.edu/ontology/MSDL","Manufacturing Service Description Language (MSDL) is an OWL-based ontology developed for the formal representation of manufacturing services.","Farhad Ameri",,,"https://industryportal.enit.fr/ontologies/MSDL",,,,,"https://data.industryportal.enit.fr/ontologies/MSDL/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,,"4.0"
"Navigation Device Vocabulary","http://purl.org/opdm/navigation#","Vocabulary to describe navigation devices.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/navigation.html",,,,,"http://purl.org/opdm/navigation#",,,
"OBO Annotations","http://purl.obolibrary.org/obo/ro/annotations.owl",,,,"CC0 1.0 Universal","https://github.com/oborel/obo-relations",,,,,"https://raw.githubusercontent.com/oborel/obo-relations/master/annotations.owl",,"2023-02-23",
"OBO Format Metamodel","http://www.geneontology.org/formats/oboInOwl#","OBO Format metamodel, which is a meta-ontology and therefore self-describing.",,,,"https://github.com/geneontology/go-ontology/tree/master",,,,,"https://raw.githubusercontent.com/geneontology/go-ontology/master/contrib/oboInOwl",,"2019-02-20",
"oneM2M Base Ontology","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#","oneM2M Base Ontology is the minimal ontology (i.e. mandating the least number of conventions) that is required such that other ontologies can be mapped into oneM2M.","oneM2M",,,"https://git.onem2m.org/MAS/BaseOntology",,,,,"https://git.onem2m.org/MAS/BaseOntology/-/raw/master/base_ontology.owl",,"2018-03-18","3.6.0"
"Ontology for Maintenance Procedure Documentation (OMPD) Conditional Maintenance Task Ontology","http://spec.equonto.com/ontology/maintenance-procedure/conditional-maintenance-task-ontology","The OMPD Conditional Maintenance Task Ontology captures functional failures and corrective maintenance tasks (to be conditionally executed on the occurrence of a function failure) found in some industrial maintenance procedures.","University of Western Australia,Equonto Pty. Ltd.",,"MIT","https://industryportal.enit.fr/ontologies/OMPD-CMTO",,,,,"https://data.industryportal.enit.fr/ontologies/OMPD-CMTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,,
"Ontology for the Battery Value Chain","https://bvco.ontology.link/","Ontology, aiming on modeling processes along the Battery value chain. Processes are holistic perspective elements that transform inputs/educts (matter, energy, information) into output/products (matter, energy, information) with the help of tools (devices, algorithms).","Lukas Gold,Simon Stier",,"CC-BY 4.0","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/bvco",,,,,,"https://raw.githubusercontent.com/Battery-Value-Chain-Ontology/ontology/master/BVCO.ttl","2024-02-16","0.4.2"
"Ontology for vCard","http://www.w3.org/2006/vcard/ns#","Ontology for vCard based on RFC6350.","Harry Halpin,Renato Iannella,Brian Suda,Norman Walsh",,,"https://www.w3.org/submissions/vcard-rdf/",,,,,,"https://www.w3.org/2006/vcard/ns","2010-01-20",
"Ontology model for Web of Things","http://iot.linkeddata.es/def/wot#","This ontology aims to model the Web of Things domain according to the W3C Interest Group (http://w3c.github.io/wot/).","María Poveda-Villalón,Raúl García Castro,http://www.oeg-upm.net/index.php/en/universitystaff/402-fserena/",,"CC-BY 4.0","http://iot.linkeddata.es/def/wot/index-en.html",,,,,"http://iot.linkeddata.es/def/wot#","http://iot.linkeddata.es/def/wot/ontology.ttl","2018-05-18","0.0.11"
"Ontology of units of Measure","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/OM4ExtruOnt","The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research.","Hajo Rijgersberg,Don Willems,Jan Top",,"CC-BY 4.0","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/",,,,,"http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/OM4ExtruOnt.owl",,"2019-03-08","2.0.12"
"OntoSensor Device Ontology","http://mmisw.org/ont/univmemphis/sensor","Ontology copied for safe-keeping; reference original rather than this copy.","David Russomano",,,"https://mmisw.org/ont/univmemphis/sensor",,,,,"https://mmisw.org/ont/api/v0/ont?format=rdf&iri=http://mmisw.org/ont/univmemphis/sensor","https://mmisw.org/ont/api/v0/ont?format=ttl&iri=http://mmisw.org/ont/univmemphis/sensor","2009-04-22",
"OPC UA Core ontology","http://www.fortiss.org/kb/opcua/OpcUaCore.owl","Ontology for representing information about Semantic Digital Twins of Manufacturing Resources (OPC UA context).","Alexander Perzylo,Stefan Profanter,Markus Rickert,Alois Knoll",,,"https://github.com/OntoUA/ua-nodeset-core-ont",,,,,"https://raw.githubusercontent.com/OntoUA/ua-nodeset-core-ont/master/owl/OpcUaCore.owl",,"2019-06-27","0.1.0"
"OPC UA NodeSet ontology","http://www.fortiss.org/kb/opcua/OpcUaNodeSet2.owl","Ontology for representing information about Semantic Digital Twins of Manufacturing Resources (OPC UA context).","Alexander Perzylo,Stefan Profanter,Markus Rickert,Alois Knoll",,,"https://github.com/OntoUA/ua-nodeset-core-ont",,,,,"https://raw.githubusercontent.com/OntoUA/ua-nodeset-core-ont/master/owl/OpcUaNodeSet2.owl",,"2019-06-27","1.04"
"OPC UA Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/OpcUa","This ontology is based on OpcUaNodeset-Ontology (from fortiss),just a couple of things were edited because authors are using this ontology in an execution environment.","Aljosha Köcher,Janni Kreisberg",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-OPC-UA",,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-OPC-UA/master/OpcUa.owl",,"2023-05-12","2.0.0"
