"ontology title","ontology iri","summary","authors","contributors","license information","project page","source page","latest json-ld file","latest n3 file","latest ntriples file","latest rdf/xml file","latest turtle file","modified","version","source title","source url"
"DIN 8580 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DIN8580","","","","","","","","","","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DIN8580/master/DIN8580.owl","","","","Manually maintained","https://github.com/k00ni/govi/blob/master/manually-maintained-metadata-about-ontologies.csv"
"DIN EN 61360 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DINEN61360","","","","","","","","","","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN61360/master/DINEN61360.owl","","","","Manually maintained","https://github.com/k00ni/govi/blob/master/manually-maintained-metadata-about-ontologies.csv"
"DIN EN 62264-2 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DINEN62264-2","","","","","","","","","","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN62264-2/master/DINEN62264.owl","","","","Manually maintained","https://github.com/k00ni/govi/blob/master/manually-maintained-metadata-about-ontologies.csv"
"DINGO Ontology","https://w3id.org/dingo/","The DINGO ontology (Data Integration for Grant Ontology) defines the terms of the DINGO vocabulary and provides a machine readable extensible framework to model data relative to projects, funding, project and funding actors, and, notably, funding policies. It is designed to yield high modeling power and elasticity to cope with the huge variety in funding and project practices, which makes it applicable to many areas where funding is an important aspect: first of all research, but also the arts, cultural conservation, and many others.","https://orcid.org/0000-0003-2681-9826","https://www.linkedin.com/in/danbri/,https://www.linkedin.com/in/andra-waagmeester-4785792/,https://orcid.org/0000-0003-4624-568X,https://www.dublincore.org/about/executive/,https://orcid.org/0000-0003-1775-9921","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dg/versions/2020-01-10.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DINGO Ontology","https://w3id.org/dingo#","The DINGO ontology (Data Integration for Grant Ontology) defines the terms of the DINGO vocabulary and provides a machine readable extensible framework to model data relative to projects, funding, project and funding actors, and, notably, funding policies. It is designed to yield high modeling power and elasticity to cope with the huge variety in funding and project practices, which makes it applicable to many areas where funding is an important aspect: first of all research, but also the arts, cultural conservation, and many others.","","","","","https://archivo.dbpedia.org/info?o=https://w3id.org/dingo#","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdingo%23&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdingo%23&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdingo%23&f=ttl","","2020-01-10T10:20:10Z","DBpedia Archivo","https://archivo.dbpedia.org/list"
"DITA RDF ontology","http://purl.org/dita/ns#","The DITA RDF ontology translates the semantics of a subset of the vocabulary described in the DITA 1.2 specification in a format that can be understood in the semantic Web of data. By Colin Maudry, licensed under the terms of the Unlicense (public domain).","http://colin.maudry/rdf/colin-maudry#me","","","http://docs.oasis-open.org/dita/v1.2/os/spec/DITA1.2-spec.html","","","https://lov.linkeddata.es/dataset/lov/vocabs/dita/versions/2014-08-03.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DM2E model","http://onto.dm2e.eu/schemas/dm2e","The DM2E model is a specialisation of the Europeana Data Model (EDM) and can be used for the description of manuscripts in the cultural heritage domain.","http://onto.dm2e.eu/schemas/dm2e#Evelyn,http://onto.dm2e.eu/schemas/dm2e#s.hennicke,https://plus.google.com/106899605919440708219,http://onto.dm2e.eu/schemas/dm2e#konstantin","","","http://onto.dm2e.eu/schemas/dm2e.html","","","https://lov.linkeddata.es/dataset/lov/vocabs/dm2e/versions/2015-01-20.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DNB Metadata Terms","http://d-nb.info/standards/elementset/dnb","The DNB RDF Vocabulary (dnb:) is a collection of classes, properties and datatypes used within the DNB s linked data service. It complements the GND Ontology (gndo:) which is specifically geared towards authority data from the Integrated Authority File (GND), whereas this vocabulary is more general-purpose.","http://d-nb.info/standards/elementset/dnb#larsGSvensson","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dnbt/versions/2019-02-12.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DNB Metadata Terms","https://d-nb.info/standards/elementset/dnb#","The DNB RDF Vocabulary (dnbt:) is a collection of classes, properties and datatypes used within the DNB s linked data service. It complements the GND Ontology (gndo:) which is specifically geared towards authority data from the Integrated Authority File (GND), whereas this vocabulary is more general-purpose.","https://d-nb.info/standards/elementset/dnb#larsGSvensson","","","","https://archivo.dbpedia.org/info?o=https://d-nb.info/standards/elementset/dnb#","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fd-nb.info%2Fstandards%2Felementset%2Fdnb%23&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fd-nb.info%2Fstandards%2Felementset%2Fdnb%23&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fd-nb.info%2Fstandards%2Felementset%2Fdnb%23&f=ttl","","1.6","DBpedia Archivo","https://archivo.dbpedia.org/list"
"DOAP Bugs","http://ontologi.es/doap-bugs#","EvoOnt BOM is way too overcomplicated. Let s subclass it...","http://tobyinkster.co.uk/#i","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dbug/versions/2011-02-15.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DOAP Change Sets","http://ontologi.es/doap-changeset","","","","","","https://archivo.dbpedia.org/info?o=http://ontologi.es/doap-changeset","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fontologi.es%2Fdoap-changeset&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fontologi.es%2Fdoap-changeset&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fontologi.es%2Fdoap-changeset&f=ttl","2020-10-18","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"DOAP Dependencies","http://ontologi.es/doap-deps#","an extension to DOAP for describing a project s requirements","http://tobyinkster.co.uk/#i","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/deps/versions/2013-07-31.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DOLCE+DnS Ultralite","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl","The DOLCE+DnS Ultralite ontology. It is a simplification of some parts of the DOLCE Lite-Plus library (cf. http://www. ontologydesignpatterns. org/ont/dul/DLP397.owl). Main aspects in which DOLCE+DnS Ultralite departs from DOLCE Lite-Plus are the following:- The names of classes and relations have been made more intuitive- The DnS-related part is closer to the newer constructive DnS ontology (http://www. ontologydesignpatterns. org/ont/dul/cDnS. owl).- Temporal and spatial relations are simplified- Qualities and regions are more relaxed than in DOLCE-Full: they can be used as attributes of any entity, although two axioms state that each quality has a region and viceversa- Axiomatization makes use of simpler constructs than DOLCE Lite-Plus- The architecture of the ontology is pattern-based, which means that DOLCE+DnS Ultralite is also available in modules, called content ontology design patterns , which can be applied independently in the design of domain ontologies (cf. http://www. ontologydesignpatterns. org). If many modules are needed in a same ontology project, it is anyway useful to use this integrated version. The final result is a lightweight, easy-to-apply foundational ontology for modeling either physical or social contexts. Several extensions of DOLCE+DnS Ultralite have been designed; see for example the extensions for information objects: http://www. ontologydesignpatterns. org/ont/dul/IOLite. owl, for systems: http://www. ontologydesignpatterns. org/ont/dul/SystemsLite. owl, for plans: http://www. ontologydesignpatterns. org/ont/dul/PlansLite. owl, for the legal domain: http://www. ontologydesignpatterns. org/ont/dul/CLO/CoreLegal. owl, and for the lexical and semiotic domains: http://www. ontologydesignpatterns. org/ont/lmm/LMM_L2.owl; etc.","http://data.semanticweb.org/person/aldo-gangemi","","","http://ontologydesignpatterns.org/wiki/Ontology:DOLCE+DnS_Ultralite","","","https://lov.linkeddata.es/dataset/lov/vocabs/dul/versions/2017-04-10.n3","","","","","3.31","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DOREMUS is an extension of the FRBRoo model for describing the music.","http://data.doremus.org/ontology#","DOREMUS is an extension of the FRBRoo model for describing the music.","http://data.doremus.org/organization/DOREMUS","http://data.semanticweb.org/person/raphael-troncy,http://pasqlisena.github.io/","","https://github.com/DOREMUS-ANR/doremus-ontology","","","https://lov.linkeddata.es/dataset/lov/vocabs/mus/versions/2017-06-05.n3","","","","","v0.2 05/06/2017 - starting enrichemnent for Manifestations - change in of type of several properties controlled by controlled vocabulariesv0.2.1 Beta - test de gestion des vocabulaires contrôlés et propriétés avec valeur contrôlées -- import de l ontologie SKOS- M4 devient le range de la propriété U11_has_Key- M4 est déclarée sous classe de skos:Concept- key est déclaré comme instance de la classe skos:ConceptScheme- M4 est déclarée comme equivalent au skos:ConceptScheme keySi l utilisateur de l ontologie n utilise pas de vocabulaire contrôlé, cette équivalence peut être supprimée. On peut donner une valeur litérale à l instance de M4_Key en utilisant la propriété rdfs:label et mettre des commentaires en utilisant rdfs:commentv0.2.2 11/01/2018 - enrichissements de classes et propriétés- voir tableau des nouvelles classes et propriétés pour le détailv0.2.3 08/04/2018- voir tableau des nouvelles classes et propriétés pour le détailv0.2.4 14/05/2018- diverses correctionsv0.2.5 16/05/2018- diverses correctionsv0.2.6 04/07/2018- diverses corrections selon tableau des nouvelles classes et propriétésv0.2.7 05/07/2018- diverses corrections selon tableau des nouvelles classes et propriétésv0.2.9 09/07/2018- changement du label FR de la classe M37","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DSD","http://dqm.faw.jku.at/ontologies/dsd","","","","","","https://archivo.dbpedia.org/info?o=http://dqm.faw.jku.at/ontologies/dsd","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdqm.faw.jku.at%2Fontologies%2Fdsd&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdqm.faw.jku.at%2Fontologies%2Fdsd&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdqm.faw.jku.at%2Fontologies%2Fdsd&f=ttl","2022-04-19","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"DSNotify Eventsets: A vocabulary for change events in linked data sources","http://purl.org/dsnotify/vocab/eventset/","DSNotify Eventsets is a vocabulary for events that change resources in linked data sources. DSNotify Eventsets is a vocabulary for events that change resources in linked data sources.","http://metadaten-twr.org/author/bernhardhaslhofer/,http://www.cibiv.at/~niko/foaf.rdf","Elaheh Momeni Roochi","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dsn/versions/2014-06-19.n3","","","","","0.11","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DVD Player and Blu-ray Player Vocabulary","http://purl.org/opdm/blurayplayer#","","","","","","","","","","http://purl.org/opdm/blurayplayer#","","","","Manually maintained","https://github.com/k00ni/govi/blob/master/manually-maintained-metadata-about-ontologies.csv"
"Damage Topology Ontology","https://w3id.org/dot#","Ontology that defines the topology of damages in constructions.- Version 0.8: * completed ontology metadata wrt LOV* added classes dot: ClassifiedDamage and dot: UnclassifiedDamage (subclasses of dot: Damage)* made dot: StructuralDamage and dot: Defect subclasses of dot: Damage","https://www.researchgate.net/profile/Mathias_Bonduel","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dot/versions/2018-10-12.n3","","","","","0.8","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"DarwinCore Area Ontology","http://lod.taxonconcept.org/ontology/dwc_area.owl","This is a preliminary ontology that may or may not move into a version of the DarwinCore vocabulary. It has been created for testing purposes and should be considered unstable. Version 0.81 added hasCitation and cleaned up the ontology description to better match Mondeca best practices","http://lod.taxonconcept.org/ontology/people.owl#Peter_J_DeVries","","","http://lod.taxonconcept.org/ontology/dwc_area_doc/index.html,http://www.w3.org/2003/01/geo/","https://archivo.dbpedia.org/info?o=http://lod.taxonconcept.org/ontology/dwc_area.owl","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Flod.taxonconcept.org%2Fontology%2Fdwc_area.owl&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Flod.taxonconcept.org%2Fontology%2Fdwc_area.owl&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Flod.taxonconcept.org%2Fontology%2Fdwc_area.owl&f=ttl","","0.8","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Data Catalog Vocabulary","http://www.w3.org/ns/dcat","DCAT is an RDF vocabulary designed to facilitate interoperability between data catalogs published on the Web. By using DCAT to describe datasets in data catalogs, publishers increase discoverability and enable applications easily to consume metadata from multiple catalogs. It further enables decentralized publishing of catalogs and facilitates federated dataset search across sites. Aggregated DCAT metadata can serve as a manifest file to facilitate digital preservation. DCAT is defined at http://www. w3.org/TR/vocab-dcat/. Any variance between that normative document and this schema is an error in this schema.","","https://plus.google.com/112288617424467640490,http://richard.cyganiak.de/foaf.rdf#cygri,https://plus.google.com/116779670157680576942,https://plus.google.com/103670676337547906055","","http://www.w3.org/TR/vocab-dcat/","","","https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2020-02-04.n3","","","","","This is an updated copy of v2.0 of the DCAT vocabulary, taken from https://www.w3.org/ns/dcat.ttl","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Catalog Vocabulary","http://www.w3.org/ns/dcat#","","","","","","","","","","https://www.w3.org/ns/dcat.rdf","https://www.w3.org/ns/dcat.ttl","","","Manually maintained","https://github.com/k00ni/govi/blob/master/manually-maintained-metadata-about-ontologies.csv"
"Data Collection Ontology","http://purl.org/dco/v1","The Data Collection Ontology (DCO) is an ontology designed for data collection providing classes and relations on top of the Basic Formal Ontology (BFO) to facilitate data collection processes, subjects, and data anaylsis through the use of classifiers. DCO is based on the notion of reasoning to validate incoming data through their definitions based on classifiers. The Data Collection Ontology (DCO) is an ontology designed for data collection providing classes and relations on top of the Basic Formal Ontology (BFO) to facilitate data collection processes, subjects, and data anaylsis through the use of classifiers. DCO is based on the notion of reasoning to validate incoming data through their definitions based on classifiers.","","","","","http://bioportal.bioontology.org/ontologies/GDCO","","","","https://data.bioontology.org/ontologies/GDCO/download?download_format=rdf","","2017-08-09","","BioPortal","https://data.bioontology.org/documentation"
"Data Food Consortium","http://datafoodconsortium.org/ontologies/DFC_FullModel.owl","A common vocabulary for digital food platformscomment","","","","","https://archivo.dbpedia.org/info?o=http://datafoodconsortium.org/ontologies/DFC_FullModel.owl","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdatafoodconsortium.org%2Fontologies%2FDFC_FullModel.owl&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdatafoodconsortium.org%2Fontologies%2FDFC_FullModel.owl&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdatafoodconsortium.org%2Fontologies%2FDFC_FullModel.owl&f=ttl","","3.0","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Data Food Consortium Ontology","http://static.datafoodconsortium.org/ontologies/DFC_FullModel.owl","A common vocabulary for digital food platforms","https://orcid.org/0000-0002-3528-6577","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dfc/versions/2019-10-21.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Privacy Vocabulary","https://w3.org/ns/dpv","","","","","","https://archivo.dbpedia.org/info?o=https://w3.org/ns/dpv","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3.org%2Fns%2Fdpv&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3.org%2Fns%2Fdpv&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3.org%2Fns%2Fdpv&f=ttl","2020-05-07","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Data Privacy Vocabulary","https://w3id.org/dpv#","","","","","","https://archivo.dbpedia.org/info?o=https://w3id.org/dpv#","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdpv%23&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdpv%23&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Fdpv%23&f=ttl","2022-03-22","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Data Provider Node ontology","http://purl.org/dpn","This ontology is being developed by CSIRO under the eReefs project for describing data provider nodes, web services available and datasets that are hosted by them. This ontology features a module for describing Datasets. It does not however describe geospatial, temporal, organisational or domain concepts as these are intended to be included from other ontologies via the imports statement. Other modules complementary to the DPN ontology are http://purl. org/dpn/dataset and http://purl. org/dpn/services. This version aligns DCAT and DC terms and imports DPN services.","https://orcid.org/0000-0002-2237-0091","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dpn/versions/2015-08-05.n3","","","","","v 0.6.1 5/8/2015 Jonathan Yu","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Quality Vocabulary","http://www.w3.org/ns/dqv","The Data Quality Vocabulary (DQV) is seen as an extension to DCAT to cover the quality of the data, how frequently is it updated, whether it accepts user corrections, persistence commitments etc. When used by publishers, this vocabulary will foster trust in the data amongst developers.","http://www.imati.cnr.it/index.php/people/8-curricula/178-riccardo-albertoni,http://google.com/+AntoineIsaac","http://mayor2.dia.fi.upm.es/oeg-upm/index.php/en/universitystaff/290-nandana/,https://plus.google.com/107629694075463711288,https://sites.google.com/site/amrapalizaveri/,http://cgueret.github.io/,https://plus.google.com/114880781036777468731,https://plus.google.com/105247723248261742276","","http://www.w3.org/TR/vocab-dqv/","","","https://lov.linkeddata.es/dataset/lov/vocabs/dqv/versions/2016-08-26.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Reference Model","http://vocab.data.gov/def/drm","A metamodel for government data","","","","http://vocab.data.gov/def/drm.html","","","https://lov.linkeddata.es/dataset/lov/vocabs/drm/versions/2012-03-17.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Science Education Ontology","http://bigdatau.org/dseo","","","","","","http://bioportal.bioontology.org/ontologies/DSEO","","","","https://data.bioontology.org/ontologies/DSEO/download?download_format=rdf","","2018-09-26","","BioPortal","https://data.bioontology.org/documentation"
"Data Structure Ontology","http://inference-web.org/2.0/ds.owl","This ontology offers OWL-Lite definition for object list. It is a restricted version of OWL-S ObjectList (http://www. daml. org/services/owl-s/1.1/generic/ObjectList. owl). It is compatible to rdf: List with the following differences: (i) OWL individuals as list members and (ii) appropriate property cardinality restriction. The range of first will specified by the subclasses.","http://www.cs.utep.edu/paulo,http://labs.yahoo.com/Alyssa_Glass,https://plus.google.com/112326694442177926310,https://orcid.org/0000-0001-7037-4567,http://data.semanticweb.org/person/cynthia-chang","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/dso/versions/2009-06-28.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Value Vocabulary (DaVe)","http://theme-e.adaptcentre.ie/dave/dave.ttl","The Data Value Vocabulary (DaVe) is an extensible core vocabulary that allows user to use custom data value dimensions and metrics to characterise data value in a specific context. This flexibility allows for the comprehensive modelling of data value. As a data value model, DaVe allows users to monitor data value as it occurs within a data exploitation or value creation process (data value chain)","mailto:attardj@scss.tcd.ie","https://www.tcd.ie/research/profiles/?profile=rbrenna","","http://theme-e.adaptcentre.ie/dave/","","","https://lov.linkeddata.es/dataset/lov/vocabs/dave/versions/2017-11-30.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Data Value Vocabulary (DaVe)","http://theme-e.adaptcentre.ie/dave#","The Data Value Vocabulary (DaVe) is an extensible core vocabulary that allows user to use custom data value dimensions and metrics to characterise data value in a specific context. This flexibility allows for the comprehensive modelling of data value. As a data value model, DaVe allows users to monitor data value as it occurs within a data exploitation or value creation process (data value chain)","","","","http://theme-e.adaptcentre.ie/dave/","https://archivo.dbpedia.org/info?o=http://theme-e.adaptcentre.ie/dave#","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Ftheme-e.adaptcentre.ie%2Fdave%23&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Ftheme-e.adaptcentre.ie%2Fdave%23&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Ftheme-e.adaptcentre.ie%2Fdave%23&f=ttl","","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Data harmonization ontology for cross border malaria surveillance","http://www.semanticweb.org/IRDGuyamazon","","","","","","http://bioportal.bioontology.org/ontologies/IRDG","","","","https://data.bioontology.org/ontologies/IRDG/download?download_format=rdf","","2018-10-12","","BioPortal","https://data.bioontology.org/documentation"
"Data.gouv.fr (DGFR) ontology","http://colin.maudry.com/ontologies/dgfr#","The DGFR ontology defines the terms required to describe the datasets published or referenced on data. gouv. fr, when DCAT and Dublin Core are not enough.","http://colin.maudry/rdf/colin-maudry#me","","","http://data.gouv.fr","https://archivo.dbpedia.org/info?o=http://colin.maudry.com/ontologies/dgfr#","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fcolin.maudry.com%2Fontologies%2Fdgfr%23&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fcolin.maudry.com%2Fontologies%2Fdgfr%23&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fcolin.maudry.com%2Fontologies%2Fdgfr%23&f=ttl","","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"DataID","http://dataid.dbpedia.org/ns/core#","DBpedia Data ID is an ontology with the goal of describing LOD datasets via RDF files in a uniform way. Established vocabularies like DCAT, VoID, Prov-O and SPARQL Service Description are used for maximum compatibility.","http://wiki.dbpedia.org/Association/Persons/Freudenberg","http://aksw.org/MartinBruemmer","","http://wiki.dbpedia.org/projects/dbpedia-dataid","","","https://lov.linkeddata.es/dataset/lov/vocabs/dataid/versions/2016-09-14.n3","","","","","1.0.0","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Databank Family Ontology","https://w3id.org/dfo/","The Databank Family Ontology describes groups of data banks with similar record prompts and originators. The Databank Family Ontology describes groups of data banks with similar record prompts and originators.","","","","","http://bioportal.bioontology.org/ontologies/DFO","","","","https://data.bioontology.org/ontologies/DFO/download?download_format=rdf","","2021-10-08","0.1","BioPortal","https://data.bioontology.org/documentation"
"Databus Mod","http://dataid.dbpedia.org/ns/mod","","","","","","https://archivo.dbpedia.org/info?o=http://dataid.dbpedia.org/ns/mod","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdataid.dbpedia.org%2Fns%2Fmod&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdataid.dbpedia.org%2Fns%2Fmod&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fdataid.dbpedia.org%2Fns%2Fmod&f=ttl","2021-03-10","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Databus Ontology","https://dataid.dbpedia.org/databus#","The Databus Ontology provides a model for version-centric data management and enables efficient organization and retrieval of datasets. The Databus Ontology supports version tracking, retrieval of different dataset versions, and efficient organization of data artifacts. It allows for seamless collaboration and consumption of data, and facilitates the management and categorization of datasets. The Databus Ontology is aligned and meant to be used in combination with the DataID ontology, DCAT, Prov-O and Dublin Core. * Databus Model Overview * The Group class allows users to organize and categorize data by grouping related artifacts, facilitating collaboration and data consumption across projects. The Artifact class represents a logical dataset and maintains a stable reference across different versions and variants of the dataset. The Version class represents a specific version of an artifact and is associated with one or more distributions (parts). The Part class represents a dataset distribution that contributes to a version by adding information. The Collection class enables users to create data catalogs and organize related datasets. * Feedback * If you d like to leave feedback, please open an issue on GitHub (https://github. com/dbpedia/databus/issues).","","","","","https://archivo.dbpedia.org/info?o=https://dataid.dbpedia.org/databus#","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fdataid.dbpedia.org%2Fdatabus%23&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fdataid.dbpedia.org%2Fdatabus%23&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fdataid.dbpedia.org%2Fdatabus%23&f=ttl","2023-06-20","See Archivo: https://archivo.dbpedia.org/info?o=https%3A//dataid.dbpedia.org/databus%23","DBpedia Archivo","https://archivo.dbpedia.org/list"
"Dataset Catalog Vocabulary","http://purl.org/ctic/dcat#","This vocabulary is used for modelling catalogs of datasets and its relationships with the datasets","","","","http://data.fundacionctic.org/vocab/catalog/datasets.html","","","https://lov.linkeddata.es/dataset/lov/vocabs/ds/versions/2013-03-22.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Dataset Dynamics (dady) vocabulary","http://vocab.deri.ie/dady","A vocabulary that allows for coarse-grained descriptions of the data-source dynamics as well as the discovery of change notification mechanism(s).","https://plus.google.com/102497386507936526460","","","http://vocab.deri.ie/dady.html","","","https://lov.linkeddata.es/dataset/lov/vocabs/dady/versions/2010-01-27.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Dataset Ontology","http://reference.data.gov.au/def/ont/dataset","The data. gov. au Dataset Ontology is an OWL ontology designed to describe the characteristics of datasets published on data. gov. au. The ontology contains elements which describe the publication, update, origin, governance, spatial and temporal coverage and other contextual information about the dataset. The ontology also covers aspects of organisational custodianship and governance. By using this ontology to describe datasets on data. gov. au publishers increase discoverability and enable the consumption of this information in other applications/systems as Linked Data. It further enables decentralised publishing of catalogs and facilitates federated dataset search across sites, e. g. in datasets that are published by the States. Other publishers of Linked Data may make assertions about data published using this ontology, e. g. they may publish information about the use of the dataset in other applications.","","http://reference.data.gov.au/def/ont/simon.cox@csiro.au,http://reference.data.gov.au/def/ont/armin.haller@anu.edu.au,http://reference.data.gov.au/def/ont/nicholas.car@ga.gov.au","","https://github.com/AGLDWG/dataset-ont","","","https://lov.linkeddata.es/dataset/lov/vocabs/donto/versions/2015-06-19.n3","","","","","1.0","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Dataset Quality Vocabulary","http://purl.org/eis/vocab/daq#","The Dataset Quality Vocabulary (daQ) is a lightweight, extensible core vocabulary for attaching the result of quality benchmarking of a linked open dataset (usually an expensive process) to that dataset. daQ is designed to be extended by custom quality metrics. Use cases include filtering and ranking datasets by quality.","https://plus.google.com/114880781036777468731,http://langec.wordpress.com/about/","","","http://butterbur04.iai.uni-bonn.de/ontologies/daq/daq#","","","https://lov.linkeddata.es/dataset/lov/vocabs/daq/versions/2015-04-01.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Dataset Usage Vocabulary","http://www.w3.org/ns/duv","The Dataset Usage Vocabulary (DUV) is used to describe consumer experiences, citations, and feedback about datasets from the human perspective.","https://plus.google.com/117332809911273798616,https://www.linkedin.com/in/sumitpurohit/,http://www.sysbio.org/resources/staff/stephan.stm","","","","","","https://lov.linkeddata.es/dataset/lov/vocabs/duv/versions/2016-08-30.n3","","","","","","Linked Open Vocabularies","https://lov.linkeddata.es/lov.n3.gz"
"Dataset processing","http://neurolog.unice.fr/ontoneurolog/v3.0/ontoneurolog-dataset-processing.owl","","","","","","http://bioportal.bioontology.org/ontologies/ONL-DP","","","","https://data.bioontology.org/ontologies/ONL-DP/download?download_format=rdf","","2013-07-10","","BioPortal","https://data.bioontology.org/documentation"
